plant_st,plant_name,fac_code,prim_mov,prim_fuel,tot_MW,cf,tot_MWh,nox_rate,so2_rate,co2_rate,ch4_rate,n2o_rate,co2eq_rate
NY,Hampshire Paper,10116,ADD,WAT,3.4,0.59,17674,0,0,0,0,0,0
NY,Hannawa,2571,ADD,WAT,8,0.36,24930,0,0,0,0,0,0
NY,Hardscrabble Wind Power LLC,57287,ADD,WND,74,0.26,168878,0,0,0,0,0,0
NY,Harlem River Yard,7914,ADD,NG,94,0.06,48703,0.11,0.01,1271.62,24.88,2.49,1272.92
NY,Harris Lake,2528,ADD,DFO,1.7,0,24,55.97,8.65,6739.19,288.42,57.7,6763.13
NY,Hawkeye Energy Greenport LLC,55969,ADD,DFO,54,0.04,19999,0.25,0.31,1654.34,71.13,14.23,1660.25
NY,Hell Gate,7913,ADD,NG,94,0.07,54538,0.11,0.01,1285.21,25.15,2.52,1286.52
NY,Herkimer,52057,ADD,WAT,2,0,0,0,0,0,0,0,0
NY,Herrings,2572,ADD,WAT,5.4,0.32,14984,0,0,0,0,0,0
NY,Heuvelton,2573,ADD,WAT,1,0.55,4808,0,0,0,0,0,0
NY,Hewittville Hydroelectric,50268,ADD,WAT,3,0.51,13403,0,0,0,0,0,0
NY,High Acres Gas Recovery,50568,ADD,LFG,9.6,0.95,80098,0,0,0,0,0,0
NY,High Dam,2574,ADD,WAT,11.9,0.35,36392,0,0,0,0,0,0
NY,High Falls,2530,ADD,WAT,15,0.53,69831,0,0,0,0,0,0
NY,High Falls,2575,ADD,WAT,6,0.48,25340,0,0,0,0,0,0
NY,High Sheldon Wind Farm,56953,ADD,WND,112,0.26,254570,0,0,0,0,0,0
NY,Higley,2576,ADD,WAT,6,0.6,31470,0,0,0,0,0,0
NY,Hillburn,2628,ADD,NG,46.5,0,279,17.53,0.27,1953.58,33.99,3.4,1955.35
NY,Hofstra University,51035,ADD,NG,2.2,0.69,13260,3.02,0.24,851.15,20.93,2.84,852.47
NY,Hollow Dam Power Partnership,10124,ADD,WAT,1,0.4,3542,0,0,0,0,0,0
NY,Holtsville,8007,ADD,DFO,567,0.01,50864,9.75,7.27,2355.49,101.46,20.3,2363.91
NY,Honeywell Farms,10125,ADD,NG,4.4,0.29,11286.66,1.7,0.03,710.29,14.34,1.48,711.05
NY,Hospira Inc,55788,ADD,,2.2,0,0,0,0,0,0,0,0
NY,Howard Wind Farm,57867,ADD,WND,59.5,0.19,99392,0,0,0,0,0,0
NY,Hudson Avenue,2496,ADD,KER,48.9,0,1819,4.56,1.33,2918.98,126.24,25.26,2929.46
NY,Hudson Falls Hydroelectric Project,54953,ADD,WAT,44,0.5,191016,0,0,0,0,0,0
NY,Huntington Resource Recovery Facility,50656,ADD,MSB,28,0.77,189665,3.76,47.04,3487.23,1245.54,166.07,3564.87
NY,HVCC Cogen Plant,58186,ADD,NG,8.1,0,0,0,0,0,0,0,0
NY,Hydraulic Race,2578,ADD,WAT,3,0.35,9236,0,0,0,0,0,0
